siteID,latitude,longitude,plotId,startVisitDate,endVisitDate,tagNumber,species,treeAlivestatus,diameterAtBreastHeight,treeForm,treeHeight,numberOfHollows,hollowHeight,hollowLength,hollowWidth,hollowLocation,hollowType,aspect	Length of an individual hollow
Karawatha Peri-Urban,-27.62789,153.08807,E4,1/6/09,31/8/09,E400219,E. racemosa,a,814,2,17.5,2,8,16,16,primary,branch butt,W
Karawatha Peri-Urban,-27.62789,153.08807,E4,1/6/09,31/8/09,E400219,E. racemosa,a,814,2,17.5,1,10,17,17,primary,branch butt,N
Karawatha Peri-Urban,-27.62789,153.08807,E4,1/6/09,31/8/09,E400219,E. racemosa,a,814,2,17.5,3,12,15,15,secondary,hole,N
Karawatha Peri-Urban,-27.62789,153.08807,E4,1/6/09,31/8/09,E400224,E. racemosa,a,916,2,16,1,10,15,10,secondary,hollow branch,SW
Karawatha Peri-Urban,-27.62789,153.08807,G5,1/6/09,31/8/09,G500245,E. racemosa,a,560,1,15,1,6.5,5,5,trunk,branch butt,E
Karawatha Peri-Urban,-27.62789,153.08807,B5,1/6/09,31/8/09,B500184,E. resinifera,a,889,1,20,1,5,30,17,Trunk,hole,W
Karawatha Peri-Urban,-27.62789,153.08807,B5,1/6/09,31/8/09,B500184,E. resinifera,a,889,1,20,2,9,10,7,Trunk,hole,W
Karawatha Peri-Urban,-27.62789,153.08807,C3,1/6/09,31/8/09,C300145,E. resinifera,a,482,2,19,1,8.3,15,12,trunk,hole,S
Karawatha Peri-Urban,-27.62789,153.08807,C3,1/6/09,31/8/09,C300319,E. resinifera,a,454,2,19.7,1,9,13,9,secondary,hole,S
Karawatha Peri-Urban,-27.62789,153.08807,D5,1/6/09,31/8/09,D500378,E. resinifera,mostly dead,543,5,13.9,1,10.7,30,20,trunk,hole,SE
Karawatha Peri-Urban,-27.62789,153.08807,E5,1/6/09,31/8/09,E500043,E. tereticornis,a,460,1,20,1,10.2,5,5,trunk,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,C4,1/6/09,31/8/09,C400399,E. tindaliae,a,613,2,18.9,1,9.7,13,13,trunk,hole,NW
Karawatha Peri-Urban,-27.62789,153.08807,C4,1/6/09,31/8/09,C400399,E. tindaliae,a,613,2,18.9,2,10.3,15,15,trunk,branch butt,NE
Karawatha Peri-Urban,-27.62789,153.08807,C4,1/6/09,31/8/09,C400399,E. tindaliae,a,613,2,18.9,3,12.2,22,22,primary,hole,N
Karawatha Peri-Urban,-27.62789,153.08807,C4,1/6/09,31/8/09,C400399,E. tindaliae,a,613,2,18.9,4,12.2,22,22,primary,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500066,E. tindaliae,a,403,1,18,1,11,12,12,secondary,branch butt,SW
Karawatha Peri-Urban,-27.62789,153.08807,D2,1/6/09,31/8/09,D200049,E. tindaliae,a,548,1,20,1,14.4,14,14,primary,hollow branch,W
Karawatha Peri-Urban,-27.62789,153.08807,D2,1/6/09,31/8/09,D200051,E. tindaliae,a,332,1,17,1,8.5,11,11,primary,hole,SE
Karawatha Peri-Urban,-27.62789,153.08807,D2,1/6/09,31/8/09,D200244,E. tindaliae,a,519,1,18.1,1,8,15,8,secondary,branch butt,W
Karawatha Peri-Urban,-27.62789,153.08807,D2,1/6/09,31/8/09,D200271,E. tindaliae,a,684,1,23.5,1,16.5,17,12,secondary,hole,NW
